,code,name,c_name
0,600099,林海股份,其他交运设备
1,600679,上海凤凰,其他交运设备
2,600877,*ST嘉陵,其他交运设备
3,603129,春风动力,其他交运设备
4,603766,隆鑫通用,其他交运设备
5,603776,永安行,其他交运设备
6,603787,新日股份,其他交运设备
7,000017,深中华A,其他交运设备
8,000913,钱江摩托,其他交运设备
9,002105,信隆健康,其他交运设备
10,600100,同方股份,计算机设备
11,600601,方正科技,计算机设备
12,600764,中电广通,计算机设备
13,600800,天津磁卡,计算机设备
14,600855,航天长峰,计算机设备
15,603019,中科曙光,计算机设备
16,603106,恒银金融,计算机设备
17,603496,恒为科技,计算机设备
18,603660,苏州科达,计算机设备
19,000021,深科技,计算机设备
20,000066,中国长城,计算机设备
21,000748,长城信息,计算机设备
22,000938,紫光股份,计算机设备
23,000977,浪潮信息,计算机设备
24,000997,新 大 陆,计算机设备
25,002152,广电运通,计算机设备
26,002177,御银股份,计算机设备
27,002197,证通电子,计算机设备
28,002268,卫 士 通,计算机设备
29,002296,辉煌科技,计算机设备
30,002308,威创股份,计算机设备
31,002312,*ST三泰,计算机设备
32,002376,新北洋,计算机设备
33,002383,合众思壮,计算机设备
34,002512,达华智能,计算机设备
35,002528,英飞拓,计算机设备
36,002577,雷柏科技,计算机设备
37,002835,同为股份,计算机设备
38,002912,中新赛克,计算机设备
39,300042,朗科科技,计算机设备
40,300045,华力创通,计算机设备
41,300065,海兰信,计算机设备
42,300130,新国都,计算机设备
43,300155,安居宝,计算机设备
44,300177,中海达,计算机设备
45,300202,聚龙股份,计算机设备
46,300270,中威电子,计算机设备
47,300302,同有科技,计算机设备
48,300333,兆日科技,计算机设备
49,300367,东方网力,计算机设备
50,300368,汇金股份,计算机设备
51,300386,飞天诚信,计算机设备
52,300449,汉邦高科,计算机设备
53,300455,康拓红外,计算机设备
54,300462,华铭智能,计算机设备
55,300479,神思电子,计算机设备
56,300546,雄帝科技,计算机设备
57,300627,华测导航,计算机设备
58,600189,吉林森工,林业
59,600265,ST景谷,林业
60,000592,平潭发展,林业
61,000699,S*ST佳纸,林业
62,002679,福建金森,林业
63,600125,铁龙物流,铁路运输
64,601006,大秦铁路,铁路运输
65,601333,广深铁路,铁路运输
66,000594,国恒退,铁路运输
67,600111,北方稀土,有色金属
68,600114,东睦股份,有色金属
69,600139,西部资源,有色金属
70,600146,商赢环球,有色金属
71,600206,有研新材,有色金属
72,600219,南山铝业,有色金属
73,600255,梦舟股份,有色金属
74,600259,广晟有色,有色金属
75,600311,荣华实业,有色金属
76,600330,天通股份,有色金属
77,600331,宏达股份,有色金属
78,600338,西藏珠峰,有色金属
79,600362,江西铜业,有色金属
80,600366,宁波韵升,有色金属
81,600385,山东金泰,有色金属
82,600390,五矿资本,有色金属
83,600392,盛和资源,有色金属
84,600432,*ST吉恩,有色金属
85,600456,宝钛股份,有色金属
86,600459,贵研铂业,有色金属
87,600478,科力远,有色金属
88,600489,中金黄金,有色金属
89,600490,鹏欣资源,有色金属
90,600497,驰宏锌锗,有色金属
91,600516,方大炭素,有色金属
92,600531,豫光金铅,有色金属
93,600547,山东黄金,有色金属
94,600549,厦门钨业,有色金属
95,600576,祥源文化,有色金属
96,600595,中孚实业,有色金属
97,600614,鹏起科技,有色金属
98,600615,丰华股份,有色金属
99,600673,东阳光科,有色金属
100,600687,刚泰控股,有色金属
101,600711,盛屯矿业,有色金属
102,600714,金瑞矿业,有色金属
103,600766,园城黄金,有色金属
104,600768,宁波富邦,有色金属
105,600888,新疆众和,有色金属
106,600961,株冶集团,有色金属
107,600980,北矿科技,有色金属
108,600988,赤峰黄金,有色金属
109,601020,华钰矿业,有色金属
110,601069,西部黄金,有色金属
111,601137,博威合金,有色金属
112,601168,西部矿业,有色金属
113,601212,白银有色,有色金属
114,601388,怡球资源,有色金属
115,601600,中国铝业,有色金属
116,601677,明泰铝业,有色金属
117,601899,紫金矿业,有色金属
118,601958,金钼股份,有色金属
119,603260,合盛硅业,有色金属
120,603399,新华龙,有色金属
121,603527,众源新材,有色金属
122,603612,索通发展,有色金属
123,603663,三祥新材,有色金属
124,603688,石英股份,有色金属
125,603799,华友钴业,有色金属
126,603826,坤彩科技,有色金属
127,603978,深圳新星,有色金属
128,603993,洛阳钼业,有色金属
129,000007,全新好,有色金属
130,000008,神州高铁,有色金属
131,000060,中金岭南,有色金属
132,000426,兴业矿业,有色金属
133,000506,中润资源,有色金属
134,000511,*ST烯碳,有色金属
135,000519,中兵红箭,有色金属
136,000602,金马集团,有色金属
137,000603,盛达矿业,有色金属
138,000612,焦作万方,有色金属
139,000620,新华联,有色金属
140,000630,铜陵有色,有色金属
141,000633,合金投资,有色金属
142,000657,中钨高新,有色金属
143,000688,建新矿业,有色金属
144,000693,*ST华泽,有色金属
145,000697,炼石有色,有色金属
146,000751,锌业股份,有色金属
147,000758,中色股份,有色金属
148,000795,英洛华,有色金属
149,000807,云铝股份,有色金属
150,000813,德展健康,有色金属
151,000831,五矿稀土,有色金属
152,000878,云南铜业,有色金属
153,000908,景峰医药,有色金属
154,000928,中钢国际,有色金属
155,000933,神火股份,有色金属
156,000960,锡业股份,有色金属
157,000962,东方钽业,有色金属
158,000969,安泰科技,有色金属
159,000970,中科三环,有色金属
160,000975,银泰资源,有色金属
161,002056,横店东磁,有色金属
162,002057,中钢天源,有色金属
163,002070,*ST众和,有色金属
164,002075,沙钢股份,有色金属
165,002114,罗平锌电,有色金属
166,002130,沃尔核材,有色金属
167,002149,西部材料,有色金属
168,002155,湖南黄金,有色金属
169,002160,常铝股份,有色金属
170,002167,东方锆业,有色金属
171,002171,楚江新材,有色金属
172,002182,云海金属,有色金属
173,002203,海亮股份,有色金属
174,002237,恒邦股份,有色金属
175,002295,精艺股份,有色金属
176,002297,博云新材,有色金属
177,002340,格林美,有色金属
178,002378,章源钨业,有色金属
179,002379,宏创控股,有色金属
180,002428,云南锗业,有色金属
181,002460,赣锋锂业,有色金属
182,002466,天齐锂业,有色金属
183,002501,利源精制,有色金属
184,002540,亚太科技,有色金属
185,002578,闽发铝业,有色金属
186,002600,江粉磁材,有色金属
187,002716,金贵银业,有色金属
188,002806,华锋股份,有色金属
189,002824,和胜股份,有色金属
190,002842,翔鹭钨业,有色金属
191,300127,银河磁体,有色金属
192,300224,正海磁材,有色金属
193,300337,银邦股份,有色金属
194,300395,菲利华,有色金属
195,300428,四通新材,有色金属
196,300489,中飞股份,有色金属
197,300618,寒锐钴业,有色金属
198,300666,江丰电子,有色金属
199,300697,电工合金,有色金属
200,300706,阿石创,有色金属
201,300731,科创新源,有色金属
202,600085,同仁堂,中药
203,600129,太极集团,中药
204,600211,西藏药业,中药
205,600222,太龙药业,中药
206,600252,中恒集团,中药
207,600285,羚锐制药,中药
208,600329,中新药业,中药
209,600332,白云山,中药
210,600351,亚宝药业,中药
211,600422,昆药集团,中药
212,600436,片仔癀,中药
213,600479,千金药业,中药
214,600518,康美药业,中药
215,600535,天士力,中药
216,600538,国发股份,中药
217,600557,康缘药业,中药
218,600572,康恩贝,中药
219,600594,益佰制药,中药
220,600613,神奇制药,中药
221,600671,天目药业,中药
222,600750,江中药业,中药
223,600771,广誉远,中药
224,600781,辅仁药业,中药
225,600976,健民集团,中药
226,600993,马应龙,中药
227,603139,康惠制药,中药
228,603567,珍宝岛,中药
229,603858,步长制药,中药
230,603896,寿仙谷,中药
231,603963,大理药业,中药
232,603998,方盛制药,中药
233,000423,东阿阿胶,中药
234,000538,云南白药,中药
235,000590,启迪古汉,中药
236,000623,吉林敖东,中药
237,000650,仁和药业,中药
238,000766,通化金马,中药
239,000790,泰合健康,中药
240,000919,金陵药业,中药
241,000989,九 芝 堂,中药
242,000999,华润三九,中药
243,002107,沃华医药,中药
244,002118,紫鑫药业,中药
245,002166,莱茵生物,中药
246,002198,嘉应制药,中药
247,002275,桂林三金,中药
248,002287,奇正藏药,中药
249,002317,众生药业,中药
250,002349,精华制药,中药
251,002390,信邦制药,中药
252,002412,汉森制药,中药
253,002424,贵州百灵,中药
254,002433,太安堂,中药
255,002566,益盛药业,中药
256,002603,以岭药业,中药
257,002644,佛慈制药,中药
258,002737,葵花药业,中药
259,002750,龙津药业,中药
260,002817,黄山胶囊,中药
261,002826,易明医药,中药
262,002864,盘龙药业,中药
263,002873,新天药业,中药
264,002907,华森制药,中药
265,300026,红日药业,中药
266,300039,上海凯宝,中药
267,300049,福瑞股份,中药
268,300108,吉药控股,中药
269,300147,香雪制药,中药
270,300158,振东制药,中药
271,300181,佐力药业,中药
272,300519,新光药业,中药
273,300534,陇神戎发,中药
274,600209,罗顿发展,装修装饰
275,601886,江河集团,装修装饰
276,603030,全筑股份,装修装饰
277,603081,大丰实业,装修装饰
278,603466,风语筑,装修装饰
279,603828,柯利达,装修装饰
280,000018,神州长城,装修装饰
281,002047,宝鹰股份,装修装饰
282,002081,金 螳 螂,装修装饰
283,002325,洪涛股份,装修装饰
284,002375,亚厦股份,装修装饰
285,002482,广田集团,装修装饰
286,002504,*ST弘高,装修装饰
287,002620,瑞和股份,装修装饰
288,002713,东易日盛,装修装饰
289,002781,奇信股份,装修装饰
290,002789,建艺集团,装修装饰
291,002811,亚泰国际,装修装饰
292,002822,中装建设,装修装饰
293,002830,名雕股份,装修装饰
