,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,0.0,6.41,6.55,6.55,6.29,6.41,6776720.0,1.17651,43340209.0,48.931,2.174,369216.0,369216.0
1,603998,方盛制药,-0.469,6.37,6.45,6.45,6.2,6.4,5746893.0,1.35158,36386876.0,45.5,2.622,278128.67264,270850.31064
2,603997,继峰股份,-1.744,9.58,9.65,9.8,9.47,9.75,3799213.0,0.6030500000000001,36468024.0,20.096,3.278,612557.8456,603540.0
3,603996,中新科技,2.192,11.19,11.0,11.33,10.63,10.95,9112583.0,3.03601,100337392.0,22.837,2.138,335867.85,335867.85
4,603993,洛阳钼业,-1.014,4.88,4.97,4.98,4.81,4.93,161448497.0,0.9139100000000001,790055942.0,34.857,2.5540000000000003,10540429.404504,8620897.020504
5,603991,至正股份,2.552,22.1,21.8,22.1,21.08,21.55,1382700.0,3.36596,30045723.0,43.333,3.349,164722.34558,90784.40878
6,603990,麦迪科技,-1.703,48.49,49.05,49.84,47.8,49.33,692161.0,1.1484,33892680.0,75.766,9.051,390998.29067,292258.928
7,603989,艾华集团,-1.294,21.35,21.75,21.79,21.05,21.63,1776664.0,0.45555,37911507.0,22.01,4.579,832653.63377,832653.63377
8,603988,中电电机,-3.156,12.58,12.86,12.86,12.38,12.99,5847158.0,2.48604,73963686.0,44.929,4.466,295881.6,295881.6
9,603987,康德莱,0.528,7.62,7.55,7.64,7.39,7.58,4367946.0,1.6739000000000002,32952706.0,20.053,2.5949999999999998,336506.058,198839.03844
10,603986,兆易创新,-3.069,101.38,102.03,105.65,99.1,104.59,5060986.0,2.44024,513710321.0,50.945,15.102,2885725.819344,2102592.600702
11,603985,恒润股份,7.039,28.74,26.96,29.5,26.96,26.85,3842488.0,5.77297,108840213.0,22.71,2.794,298896.0,191293.44
12,603980,吉华集团,-1.294,14.49,14.56,14.64,14.25,14.68,5582557.0,2.27272,80697125.0,16.41,1.729,724500.0,355922.344512
13,603979,金诚信,-0.876,9.05,9.12,9.12,8.95,9.13,3581339.0,0.6138600000000001,32367596.0,25.857,1.318,527984.63096,527984.63096
14,603978,深圳新星,-8.166,24.74,26.31,26.31,24.25,26.94,10808863.0,14.81972,269427272.0,15.758,2.892,395840.0,180442.87232
15,603977,国泰集团,-1.064,8.37,8.46,8.57,8.25,8.46,3819420.0,2.17072,32112075.0,38.045,1.7850000000000001,327462.84126,147271.824
16,603976,正川股份,1.234,21.33,20.66,21.5,20.02,21.07,7428323.0,19.39513,153283085.0,23.44,3.32,322509.6,81693.767754
17,603970,中农立华,0.35,17.2,17.16,17.37,16.91,17.14,2329336.0,2.9263,39985621.0,19.57,3.274,275200.1376,136912.1376
18,603969,银龙股份,-0.535,5.58,5.56,5.65,5.4,5.61,19245008.0,2.28835,106507466.0,31.0,2.718,469278.0,469278.0
19,603968,醋化股份,3.249,15.89,15.4,15.96,15.31,15.39,6136059.0,3.00081,95472962.0,20.114,2.324,324918.72,324918.72
20,603966,法兰泰克,-0.355,11.24,11.15,11.48,11.02,11.28,6506622.0,6.99719,73283533.0,27.415,2.699,237141.0704,104519.752896
21,603963,大理药业,7.795,16.18,15.0,16.51,14.78,15.01,7049880.0,9.23061,112648137.0,29.418,4.584,210340.0,123574.75
22,603960,克来机电,1.863,37.18,36.5,37.25,36.04,36.5,1361903.0,2.62873,50138415.0,77.458,10.285,502673.6,192623.735304
